Name,WHO Region,Cases _cumulative total,Cases _cumulative total per 1 million population,Cases _newly reported in last 7 days,Cases _newly reported in last 24 hours,Deaths _cumulative total,Deaths_ cumulative total per 1 million population,Deaths _newly reported in last 7 days,Deaths _newly reported in last 24 hours,Transmission Classification
South Africa,Africa,1369426,23089.8,91123,12710,38854,655.11,3714,566,Community transmission
Ethiopia,Africa,132034,1148.49,2589,307,2044,17.78,38,7,Community transmission
Nigeria,Africa,114691,556.38,10692,1386,1478,7.17,96,14,Community transmission
Algeria,Africa,104606,2385.48,1965,265,2854,65.08,38,6,Community transmission
Kenya,Africa,99444,1849.39,889,136,1736,32.28,16,2,Community transmission
Ghana,Africa,58822,1893.03,1841,391,358,11.52,17,0,Community transmission
Zambia,Africa,40949,2227.43,9849,1434,585,31.82,76,7,Community transmission
Uganda,Africa,38628,844.49,543,94,305,6.67,1,0,Community transmission
Namibia,Africa,31253,12299.95,2070,258,301,118.46,30,5,Community transmission
Zimbabwe,Africa,29408,1978.61,5152,733,879,59.14,290,54,Community transmission
Mozambique,Africa,29396,940.51,5670,1126,271,8.67,66,18,Community transmission
Cameroon,Africa,28010,1055.15,674,0,455,17.14,4,0,Community transmission
C“te d?Ivoire,Africa,25597,970.38,1411,214,142,5.38,2,0,Community transmission
Senegal,Africa,23642,1411.97,1759,250,546,32.61,57,10,Community transmission
Democratic Republic of the Congo,Africa,21301,237.84,1806,162,640,7.15,30,0,Community transmission
Angola,Africa,19093,580.93,668,82,444,13.51,20,2,Community transmission
Botswana,Africa,18630,7922.17,2579,0,88,37.42,40,0,Community transmission
Madagascar,Africa,18301,660.9,300,0,273,9.86,6,0,Community transmission
Mauritania,Africa,16039,3449.5,428,0,402,86.46,15,0,Community transmission
Malawi,Africa,14851,776.32,4860,971,354,18.51,79,18,Community transmission
Guinea,Africa,14207,1081.8,182,35,81,6.17,0,0,Community transmission
Eswatini,Africa,13789,11885.39,1665,346,427,368.05,95,24,Community transmission
Cabo Verde,Africa,13224,23784.73,632,85,121,217.63,6,1,Community transmission
Rwanda,Africa,11860,915.67,1738,312,153,11.81,25,5,Community transmission
Gabon,Africa,10120,4546.81,301,101,66,29.65,0,0,Community transmission
R‚union,Africa,9584,10704.65,178,32,45,50.26,3,0,Clusters of cases
Burkina Faso,Africa,9553,457.01,1007,201,106,5.07,13,1,Community transmission
Mali,Africa,7897,389.96,159,17,318,15.7,15,1,Community transmission
Congo,Africa,7794,1412.45,634,85,117,21.2,5,3,Community transmission
Lesotho,Africa,7035,3283.93,794,17,101,47.15,14,0,Community transmission
Mayotte,Africa,6981,25588.77,726,63,58,212.6,2,0,Clusters of cases
Equatorial Guinea,Africa,5365,3823.99,49,0,86,61.3,0,0,Community transmission
Central African Republic,Africa,4974,1029.86,1,0,63,13.04,0,0,Community transmission
Togo,Africa,4459,538.61,350,76,74,8.94,1,0,Community transmission
Niger,Africa,4249,175.53,251,24,147,6.07,11,1,Community transmission
Gambia,Africa,3950,1634.48,60,12,128,52.97,2,0,Community transmission
South Sudan,Africa,3762,336.08,92,0,63,5.63,0,0,Community transmission
Benin,Africa,3582,295.47,169,0,48,3.96,2,0,Community transmission
Sierra Leone,Africa,3051,382.48,164,21,77,9.65,0,0,Community transmission
Chad,Africa,3012,183.37,303,35,114,6.94,5,0,Community transmission
Guinea-Bissau,Africa,2510,1275.41,63,0,45,22.87,0,0,Community transmission
Comoros,Africa,1933,2222.86,592,69,54,62.1,21,3,Community transmission
Eritrea,Africa,1910,538.57,314,33,6,1.69,0,0,Sporadic cases
Liberia,Africa,1901,375.86,24,3,84,16.61,0,0,Community transmission
Burundi,Africa,1358,114.21,255,36,2,0.17,0,0,Community transmission
Sao Tome and Principe,Africa,1170,5338.59,65,19,17,77.57,0,0,Community transmission
Seychelles,Africa,844,8581.86,234,82,3,30.5,2,1,Clusters of cases
Mauritius,Africa,556,437.19,10,0,10,7.86,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Pending
